Komentar,Rating,Jumlah Berguna,Tanggal
"RIBET..ketika sdh login gak otomatis langsung migrasi dari rekening lama, malah di arahkan buka tabungan baru..jadinya di aplikasi ini malah no.rek baru..bukan yg lama..bingung juga cara merubahnya...udah gitu dari penampilan & Covernya juga kurang menarik terutama dari pilihan warnanya..masih bagus yg aplikasi lama",2,208,2024-11-22
"Aplikasi lebih menjual keindahan penayangan dan kecepatan grafis saja, secara keseluruhan jauh lebih lengkap dan detail Aplikasi BNI Mobile dan elegant mungkin saking lengkapnya membuatnya banyak langkah menuju folder detailnya. Kenapa tidak Aplikasi lama saja diperbarui antar muka dan sistem folder management utk mengatasi simple dan fast responnya dari pada bikin Aplikasi ganda yg tak jauh fungsinya hnya menambah penuh memori handphone konsumen dan tidak efektif 🙏 info non aktifkan!",2,175,2024-10-04
"Pemakaian baru semingguan, pas buka aplikasi lumayan lama loadingnya berbeda saat pakai bni mbangking. Pas transaksi pembayaran juga gagal terus, tapi untuk rincian keuangan lumayan oke. Semoga dapat ditingkatkan lagi, kebayang mau transaksi non-tunai, ehhhh aplikasi nya lama bangett di bukanya, kan ga lucuuu🫠",2,150,2024-10-24
"Mutasi transaksi tidak lengkap/rinci. Potongan pembayaran angsuran Fleksi tidak muncul. Sempat bikin deg2an karena saldo sudah menipis namun dari mutasi tidak nampak potongan angsurannya sehingga sempat berpikir dana hilang. Namun, setelah lihat di BNI Mobile Banking (aplikasi lama) ternyata sudah muncul mutasi pendebetannya. Selain itu saldo blokir pinjaman juga tidak nampak di aplikasi Wondr ini. Masih lebih baik aplikasi yg lama.",2,83,2024-08-26
"Bintang 2 dlu, kalo udah ditingkatin di update. Padahal udah keren, cpet apk nya. Tp masih banyak yg perlu ditingkatkan. Detail note transaksi tdk ada spt di bni mobile padahal sangat penting, riwayat saldo stelah transaksi tdak ada. Katanya super app buat gantiin bni mobile, harusnya fitur2 penting dr bni mobile nya masih ada dong. Terpaksa saya instal lagi bni mobile, pdhal udah saya hapus 🥲",2,60,2024-09-28
"Sebenernya dari segi tampilan simpel tapi setelah logout stuck di syarat dan ketentuan, pas klik 'saya setuju' muncul tampilan bahwa sesi berakhir, akhirnya kembali ke syarat dan ketentuan dan klik 'saya setuju' dan kembali tampilan sesi berakhir, loophole secara terus meneris. Mohon diperbaiki",2,41,2024-11-20
"Selalu ""sesi anda udah berakhir"" sudah login beberapa kali dan berhasil login hingga notif selamat datang muncul, saat loading tiba-tiba diminta membaca S&K lagi dan saat lanjut muncul ""sesi anda udah berakhir"". Tolong diperbaiki, ini bukan hanya saya. Tapi teman² saya juga.",2,40,2024-11-17
"Baru beberapa hari menggunakan, masih kurang terbiasa dengan tampilannya, terus tulisan atau ukuran huruf terlalu kecil dan agak ngeblur baik tampilan atau huruf dan angka pada saat transaksi contohnya saat mengisi pulsa, membuat agak kesulitan bagi pengguna dengan mata plus untuk melihat atau membacanya",2,37,2024-11-10
"Saya baru instal hari ini karna rekomendasi dari teller bank BNI. Tp sewaktu saya mau transaksi transfer dan topup ewallet malah gak bisa. Tolonglah di perbaiki apknya. Untuk interface dan ui nya udah bagus si, tp kegunaannya masih harus diperbaiki. Thx",2,34,2024-07-09
"Terlalu ribet awal pembukaan aplikasi, menu gk selengkap mobile banking, fitur lebih sedikit dari mobile banking spt fitur utk tarik tunai tanpa kartu dihilangkan. Pengaitan dengan aplikasi lain dihilangkan spt aplikasi BNI symponi dihilangkan. Mending pakai aplikasi lama dari pada banyak fitur yang hilang serta lebih sulit utk pengoperasian. Terima kasih",2,32,2024-10-21
