Komentar,Rating,Jumlah Berguna,Tanggal
Ini sering kali nggak bisa dibuka selalu muncul maaf ada sedikit kendala tim kami coba perbaiki sering muncul gitu trus harus diinstal balik lagi baru bisa connect ke wondr jadi tiap Minggu daftar ulang trus tolong ini apk agar bisa lebih baik kedepannya. padahal apk udah bgus karena ini lebih simpel dri mobile bangking,4,136,2024-11-23
"Untuk upaya optimalisasi layanan patut diapresiasi dgn adanya aplikasi Wondr ini namun perlu jg menjadi catatan agar hal-hal yang saat ini ada pada mobile banking BNI jangan sampai hilamg fiturnya, antara lain yg sudah Saya temukan : 1. menu simpan data ID pelanggan pada pembelian token listrik, wondr belum akomodir 2. Informasi transaksi tidak sedetail pada app BNI mobile, pada wondr hanya muncul ketrngan singkat tanpa ada keterangan lain sehingga nasabah tidak tau informasi transaksinya Tks",4,92,2024-09-19
"Maaf ya, tapi ini otp email tuh bermasalah sekali. Kenapa ga seperti aplikasi lain ya kalo send otp email tuh langsung ada, ini perlu nunggu belasan menit bahkan bisa lebih dari itu sampai sesi otp nya habis dan akhirnya kode kadaluarsa. Tolong sekali operator diperbaiki bagian ini.",4,59,2024-09-04
"Aplikasinya mantap tampilannya model kekinian ketimbang aplikasi sebelumnya, kekurangannya belum ada fitur dark mode. Tolong tambahin fitur dark mode untuk kenyamanan mata saat malam hari serta memberikan tampilan yang elegan....",4,40,2024-07-20
"Saya beri bintang 4 dulu. Kelebihan: secara tampilan menarik dan simpel. Saran: untuk migrasi dari BNI Mobile ke Wondr perlu dipastikan riwayat, kontak, dll. terintegrasi. Selain itu, fitur penting, seperti pembukaan rekening SBN Ritel, tersedia juga di Wondr. Terima kasih.",4,31,2024-10-03
"Sudah menggunakan aplikasi wondr, dimenu bayar &beli pulsa dan paska bayar tidak ada menu pilih operator, apa harus di ulang instal. Transaksi favorit yang sebelumnya ada di aplikasi bni mobile pada hilang. Intinya masih belum mengakomodir transaksi seperti di bni mobile Mohon informasinya",4,27,2024-11-09
"Sudah semakin membaik,semoga kedepan tetap konsisten melayani nasabah dengan sepenuh hati.",4,17,2024-10-22
"Aplikasinya bagus sama desainnya enak dilihat. Cuman di bagian pembayaran ada kurang, seperti pembayaran pendidikan Mungkin lain kali bisa di tambahkan untuk pembayaran pendidikan atau lainnya supaya lebih lengkap dalam satu aplikasi",4,14,2024-08-05
"Sdh dicoba menu transfer dan menu riwayat mobile bni yg lama ternyata sdh otomatis tersimpan, cuma kurangnya menu pinjaman tidak ada juga tidak ada saldo dr mutasi rek. Smg bisa ditambah fiturnya.",4,11,2024-08-28
"Terimakasih sudah ada menu total pengeluaran/pemasukan secara detail, namun mohon riwayat transaksi disertakan saldo pertransaksi (seperti pada aplikasi sebelumnya) sehingga mudah memantau saldonya. Bintang 5 kalau itu ada.",4,11,2024-12-26
